net,length_um
_0628_,6.49µm
_0629_,6.49µm
_0638_,6.49µm
_0641_,6.49µm
_1293_,6.49µm
_1964_,6.49µm
_1996_,6.49µm
net385,6.49µm
net399,6.49µm
_1636_,6.48µm
u_core.u_storage_bram.mem\[2\]\[12\],6.48µm
_1988_,6.44µm
net1433,6.44µm
_0525_,6.405µm
net603,6.39µm
net938,6.39µm
net1254,6.39µm
net1646,6.39µm
_0053_,6.36µm
_0161_,6.36µm
_0659_,6.36µm
_2025_,6.36µm
u_core.u_recorder.word_q\[20\],6.36µm
u_core.u_recorder.word_q\[9\],6.36µm
u_core.u_replay_fsm.word_q\[21\],6.36µm
u_core.u_replay_fsm.word_q\[8\],6.36µm
net763,6.36µm
net831,6.36µm
net1042,6.36µm
net1067,6.36µm
net1287,6.36µm
net1497,6.36µm
_0515_,6.31µm
net958,6.31µm
net1105,6.31µm
net1370,6.31µm
net1504,6.31µm
net1568,6.31µm
net1618,6.31µm
_0133_,6.3µm
_0194_,6.3µm
_0227_,6.3µm
_0764_,6.3µm
_0980_,6.3µm
_1078_,6.3µm
_1404_,6.3µm
_1542_,6.3µm
_1626_,6.3µm
_1668_,6.3µm
net15,6.3µm
u_core.u_nec_encoder.state_q\[5\],6.3µm
u_core.u_storage_bram.mem\[1\]\[8\],6.3µm
u_core.u_storage_bram.mem\[4\]\[13\],6.3µm
net680,6.3µm
net761,6.3µm
net1394,6.3µm
net1410,6.3µm
net1579,6.3µm
net1676,6.3µm
_0637_,6.285µm
_0102_,6.25µm
_1091_,6.25µm
_1136_,6.25µm
_1253_,6.25µm
_1751_,6.25µm
_1763_,6.25µm
_1843_,6.25µm
_1897_,6.25µm
_2008_,6.25µm
u_core.u_recorder.wait_cnt_q\[13\],6.25µm
net1131,6.25µm
net379,6.24µm
net449,6.24µm
net459,6.24µm
u_core.u_nec_decoder.since_valid_cnt\[0\],6.24µm
net1124,6.24µm
_0007_,6.19µm
_0060_,6.19µm
_0122_,6.19µm
_0299_,6.19µm
_0317_,6.19µm
_1257_,6.19µm
_1270_,6.19µm
_1408_,6.19µm
u_core.enc_payload\[29\],6.19µm
u_core.led_ok_cnt_q\[6\],6.19µm
net543,6.19µm
net580,6.19µm
net644,6.19µm
net683,6.19µm
net956,6.19µm
net1022,6.19µm
net1110,6.19µm
net1325,6.19µm
net1362,6.19µm
net1575,6.19µm
net1599,6.19µm
net1611,6.19µm
_0305_,6.18µm
_0927_,6.18µm
_1507_,6.18µm
_1613_,6.18µm
net729,6.18µm
net472,6.165µm
net1445,6.16µm
net410,6.155µm
u_core.u_storage_bram.mem\[1\]\[2\],6.14µm
_0188_,6.13µm
_0544_,6.13µm
_1630_,6.13µm
net624,6.13µm
net653,6.13µm
_0848_,6.12µm
_1771_,6.12µm
_1982_,6.12µm
net383,6.12µm
net407,6.12µm
net461,6.12µm
net468,6.12µm
_0446_,6.115µm
_1111_,6.115µm
_1446_,6.115µm
_1529_,6.115µm
_1788_,6.115µm
net927,6.115µm
net937,6.115µm
net1081,6.115µm
net1233,6.115µm
_0063_,6.06µm
_0780_,6.06µm
_1082_,6.06µm
_1959_,6.06µm
_0744_,6.02µm
_0746_,6.02µm
_0750_,6.02µm
_1332_,6.02µm
_1456_,6.02µm
_2032_,6.02µm
net582,6.02µm
net661,6.02µm
net711,6.02µm
net949,6.02µm
net960,6.02µm
net986,6.02µm
net1017,6.02µm
net1075,6.02µm
net1151,6.02µm
net1177,6.02µm
net1208,6.02µm
net1220,6.02µm
net1269,6.02µm
net1293,6.02µm
net1323,6.02µm
net1408,6.02µm
net1467,6.02µm
net1656,6.02µm
_0712_,6.01µm
_1180_,6.01µm
_1744_,6.01µm
net1415,6.01µm
u_core.mem_rd_data\[16\],6µm
_0052_,5.94µm
_0422_,5.94µm
net818,5.91µm
net851,5.91µm
_0273_,5.88µm
_0652_,5.88µm
_1501_,5.88µm
_1819_,5.88µm
_1855_,5.88µm
u_core.u_recorder.wait_cnt_q\[18\],5.88µm
net574,5.88µm
net779,5.88µm
net906,5.88µm
net967,5.88µm
net1115,5.88µm
_1564_,5.835µm
_0030_,5.83µm
_0442_,5.83µm
_0470_,5.83µm
_0666_,5.83µm
_0097_,5.82µm
_0295_,5.82µm
_0832_,5.82µm
_0847_,5.82µm
_1464_,5.82µm
_1569_,5.82µm
_1940_,5.82µm
net632,5.82µm
net634,5.82µm
net743,5.82µm
net1505,5.82µm
_0686_,5.77µm
_0708_,5.77µm
_1137_,5.77µm
_1147_,5.77µm
_1183_,5.77µm
_1246_,5.77µm
_1283_,5.77µm
_1505_,5.77µm
_1757_,5.77µm
u_core.led_ok_cnt_q\[2\],5.77µm
net814,5.77µm
net1232,5.77µm
net344,5.76µm
net519,5.76µm
u_core.u_storage_bram.mem\[3\]\[8\],5.76µm
_0191_,5.74µm
_1973_,5.73µm
_0057_,5.71µm
_0342_,5.71µm
_0981_,5.71µm
u_core.u_ir_tx.div_cnt_q\[1\],5.71µm
u_core.u_nec_encoder.bit_idx_q\[4\],5.71µm
u_core.u_replay_fsm.word_q\[14\],5.71µm
net544,5.71µm
net849,5.71µm
net1102,5.71µm
net1439,5.71µm
_0041_,5.7µm
_0113_,5.7µm
_0151_,5.7µm
_0282_,5.7µm
_0619_,5.7µm
_0635_,5.7µm
_1129_,5.7µm
_1405_,5.7µm
_1493_,5.7µm
u_core.u_pulse_timer.running,5.7µm
u_core.u_storage_bram.mem\[0\]\[23\],5.7µm
_0782_,5.675µm
_1640_,5.65µm
net357,5.65µm
net439,5.65µm
net489,5.65µm
_0169_,5.64µm
_0390_,5.64µm
_0441_,5.64µm
_0632_,5.64µm
_0661_,5.64µm
_0705_,5.64µm
_0706_,5.64µm
_0986_,5.64µm
_1181_,5.64µm
_1451_,5.64µm
_1811_,5.64µm
_1816_,5.64µm
_1864_,5.64µm
_1873_,5.64µm
net453,5.64µm
net464,5.64µm
net507,5.64µm
u_core.u_storage_bram.mem\[6\]\[7\],5.64µm
net812,5.64µm
_0070_,5.635µm
_0996_,5.635µm
_1260_,5.635µm
net1026,5.635µm
net1095,5.635µm
net1261,5.635µm
_0038_,5.59µm
net1617,5.58µm
_0012_,5.54µm
_0458_,5.54µm
_0516_,5.54µm
_0608_,5.54µm
_0609_,5.54µm
_1600_,5.54µm
net838,5.54µm
net865,5.54µm
net882,5.54µm
net891,5.54µm
net929,5.54µm
net943,5.54µm
net951,5.54µm
net970,5.54µm
net1099,5.54µm
net1184,5.54µm
net1219,5.54µm
net1245,5.54µm
net1660,5.54µm
net1667,5.54µm
net548,5.535µm
_0104_,5.53µm
_0107_,5.53µm
_0140_,5.53µm
_0153_,5.53µm
_0228_,5.53µm
_0290_,5.53µm
_0339_,5.53µm
_0364_,5.53µm
_0371_,5.53µm
_0454_,5.53µm
_0543_,5.53µm
_0553_,5.53µm
_0612_,5.53µm
_0669_,5.53µm
_0853_,5.53µm
_1008_,5.53µm
_1093_,5.53µm
_2028_,5.53µm
u_core.mem_rd_data\[15\],5.53µm
u_core.u_uart_tx.state\[3\],5.53µm
u_core.u_output_formatter.uart_data\[3\],5.48µm
_0062_,5.46µm
_0507_,5.46µm
net539,5.46µm
net1437,5.46µm
_0815_,5.43µm
_1467_,5.42µm
_0363_,5.415µm
_0074_,5.4µm
_1264_,5.4µm
_1271_,5.4µm
u_core.replay_prev_q,5.4µm
net594,5.4µm
net670,5.35µm
net736,5.35µm
net744,5.35µm
net748,5.35µm
net923,5.35µm
net1090,5.35µm
net1285,5.35µm
net1425,5.35µm
_0301_,5.34µm
_0894_,5.34µm
_1071_,5.34µm
u_core.led_err_cnt_q\[20\],5.34µm
net646,5.34µm
net780,5.34µm
u_core.mem_rd_data\[17\],5.295µm
_1000_,5.29µm
_1382_,5.29µm
_1412_,5.29µm
_1846_,5.29µm
net681,5.29µm
net1239,5.29µm
_0626_,5.28µm
_0636_,5.28µm
_0698_,5.28µm
_1131_,5.28µm
net429,5.28µm
_0054_,5.23µm
_0071_,5.23µm
_0361_,5.23µm
_0451_,5.23µm
_0472_,5.23µm
_0493_,5.23µm
_1003_,5.23µm
_1330_,5.23µm
u_core.u_nec_encoder.bit_idx_q\[2\],5.23µm
u_core.u_output_formatter.uart_data\[1\],5.23µm
u_core.u_pulse_timer.counter\[7\],5.23µm
u_core.u_recorder.word_q\[16\],5.23µm
net776,5.23µm
net1209,5.23µm
net1225,5.23µm
_0293_,5.22µm
_0356_,5.22µm
_0362_,5.22µm
_0490_,5.22µm
_1573_,5.22µm
_2024_,5.22µm
u_core.u_storage_bram.mem\[7\]\[11\],5.22µm
net858,5.22µm
net1036,5.22µm
u_core.led_uart_cnt_q\[2\],5.21µm
_1353_,5.205µm
u_core.u_storage_bram.mem\[6\]\[9\],5.18µm
net423,5.17µm
_0008_,5.16µm
_0042_,5.16µm
_0150_,5.16µm
_0163_,5.16µm
_0165_,5.16µm
_0222_,5.16µm
_0233_,5.16µm
_0323_,5.16µm
_0573_,5.16µm
_0591_,5.16µm
_0690_,5.16µm
_1550_,5.16µm
_1837_,5.16µm
_1854_,5.16µm
_1883_,5.16µm
_1890_,5.16µm
_2014_,5.16µm
net480,5.16µm
net499,5.16µm
net533,5.16µm
u_core.hb_counter_q\[1\],5.16µm
u_core.u_nec_decoder.addr_inv\[6\],5.16µm
_0345_,5.155µm
_1220_,5.155µm
u_core.led_uart_cnt_q\[11\],5.155µm
u_core.led_uart_cnt_q\[8\],5.155µm
u_core.u_nec_decoder.bit_counter\[4\],5.155µm
u_core.u_nec_decoder.has_valid_frame,5.155µm
u_core.u_nec_decoder.since_valid_cnt\[2\],5.155µm
u_core.u_recorder.slot_q\[0\],5.155µm
u_core.u_recorder.word_q\[18\],5.155µm
u_core.u_replay_fsm.word_q\[23\],5.155µm
u_core.u_uart_tx.shift_reg\[1\],5.155µm
u_core.u_uart_tx.shift_reg\[2\],5.155µm
u_core.u_uart_tx.shift_reg\[6\],5.155µm
net1187,5.155µm
_0381_,5.11µm
_0405_,5.11µm
_0851_,5.11µm
_1228_,5.1µm
_1958_,5.095µm
_1282_,5.085µm
_0021_,5.06µm
_0093_,5.06µm
_0415_,5.06µm
_0416_,5.06µm
_0428_,5.06µm
_0502_,5.06µm
_0615_,5.06µm
_0616_,5.06µm
_0617_,5.06µm
_0683_,5.06µm
_0684_,5.06µm
_0710_,5.06µm
_1268_,5.06µm
_1708_,5.06µm
net823,5.06µm
net1034,5.06µm
net1084,5.06µm
net1106,5.06µm
net1150,5.06µm
net1465,5.06µm
_1303_,5.05µm
_1356_,5.05µm
_1367_,5.05µm
_0036_,4.98µm
_0694_,4.98µm
net626,4.98µm
net638,4.98µm
net651,4.98µm
net706,4.98µm
net971,4.98µm
net1019,4.98µm
net1191,4.98µm
net1236,4.98µm
net1637,4.98µm
net1644,4.98µm
net1657,4.98µm
_0691_,4.92µm
_0702_,4.92µm
_1165_,4.92µm
_2004_,4.92µm
u_core.u_recorder.wait_cnt_q\[19\],4.92µm
u_core.u_recorder.wait_cnt_q\[3\],4.92µm
net785,4.92µm
net1448,4.92µm
net1453,4.92µm
_0247_,4.905µm
_0538_,4.87µm
_0607_,4.87µm
net553,4.87µm
net778,4.87µm
net1044,4.87µm
net1343,4.87µm
net1354,4.87µm
net1417,4.87µm
net1653,4.87µm
_0108_,4.86µm
_0330_,4.86µm
_0469_,4.86µm
_0547_,4.86µm
_0592_,4.86µm
_0792_,4.86µm
_1254_,4.86µm
_1295_,4.86µm
_1406_,4.86µm
_1411_,4.86µm
_1648_,4.86µm
_1946_,4.86µm
net10,4.86µm
u_core.enc_payload\[11\],4.86µm
u_core.enc_payload\[27\],4.86µm
u_core.u_output_formatter.state\[1\],4.86µm
u_core.u_recorder.word_q\[12\],4.86µm
net948,4.86µm
net964,4.86µm
net1339,4.86µm
net1346,4.86µm
net1378,4.86µm
net1639,4.86µm
_0611_,4.81µm
_1182_,4.81µm
_1552_,4.81µm
u_core.u_nec_decoder.bit_counter\[1\],4.81µm
_0695_,4.8µm
_0736_,4.8µm
_1351_,4.8µm
net342,4.8µm
u_core.u_uart_tx.baud_cnt\[11\],4.8µm
_0625_,4.77µm
_0148_,4.75µm
_0281_,4.75µm
_0874_,4.75µm
u_core.u_replay_fsm.word_q\[24\],4.75µm
net595,4.75µm
net619,4.75µm
net847,4.75µm
_0028_,4.74µm
_0167_,4.74µm
_0212_,4.74µm
_0229_,4.74µm
_0243_,4.74µm
_0248_,4.74µm
_0256_,4.74µm
_0306_,4.74µm
_0335_,4.74µm
_0340_,4.74µm
_0478_,4.74µm
_0492_,4.74µm
_0582_,4.74µm
_1169_,4.74µm
_1250_,4.74µm
u_core.led_err_cnt_q\[13\],4.74µm
u_core.led_ok_cnt_q\[10\],4.74µm
u_core.u_nec_encoder.state_q\[3\],4.74µm
u_core.u_recorder.word_q\[13\],4.74µm
u_core.u_recorder.word_q\[30\],4.74µm
u_core.u_replay_fsm.word_q\[20\],4.74µm
_0403_,4.69µm
_0130_,4.68µm
_0146_,4.68µm
_0511_,4.68µm
_0604_,4.68µm
_0704_,4.68µm
_1080_,4.68µm
_1259_,4.68µm
_1875_,4.68µm
_1900_,4.68µm
_1956_,4.68µm
_1965_,4.68µm
net343,4.68µm
net370,4.68µm
net388,4.68µm
net396,4.68µm
net402,4.68µm
net426,4.68µm
net430,4.68µm
net437,4.68µm
net446,4.68µm
net466,4.68µm
net495,4.68µm
_0839_,4.675µm
_0439_,4.58µm
_0460_,4.58µm
_1717_,4.58µm
_2022_,4.58µm
net545,4.58µm
net705,4.58µm
net724,4.58µm
net1230,4.58µm
net1461,4.58µm
net1544,4.58µm
_0019_,4.57µm
_0593_,4.57µm
_1010_,4.57µm
_1537_,4.57µm
_1637_,4.57µm
_1652_,4.57µm
_1966_,4.57µm
_1306_,4.56µm
_0464_,4.5µm
_0517_,4.5µm
_0522_,4.5µm
net655,4.5µm
net725,4.5µm
net788,4.5µm
net1069,4.5µm
u_core.enc_payload\[8\],4.445µm
_0425_,4.44µm
_0506_,4.44µm
_0527_,4.44µm
_0834_,4.44µm
_0876_,4.44µm
_1222_,4.44µm
_1473_,4.44µm
_1700_,4.44µm
_1842_,4.44µm
u_core.hb_counter_q\[7\],4.44µm
u_core.mem_wr_data\[19\],4.44µm
net675,4.44µm
net1584,4.44µm
net1612,4.44µm
net1651,4.44µm
_0427_,4.39µm
net604,4.39µm
net975,4.39µm
net1168,4.39µm
net1195,4.39µm
net1321,4.39µm
net1620,4.39µm
_0117_,4.38µm
_0119_,4.38µm
_0166_,4.38µm
_0170_,4.38µm
_0216_,4.38µm
_0242_,4.38µm
_0268_,4.38µm
_0283_,4.38µm
_0375_,4.38µm
_0380_,4.38µm
_0476_,4.38µm
_0491_,4.38µm
_0497_,4.38µm
_0561_,4.38µm
_0587_,4.38µm
_0644_,4.38µm
_0658_,4.38µm
_0681_,4.38µm
_0688_,4.38µm
_0754_,4.38µm
_1244_,4.38µm
_1378_,4.38µm
_1597_,4.38µm
_1688_,4.38µm
_1754_,4.38µm
net12,4.38µm
u_core.hb_counter_q\[13\],4.38µm
u_core.mem_wr_data\[28\],4.38µm
u_core.u_ir_tx.div_cnt_q\[4\],4.38µm
u_core.u_recorder.wait_cnt_q\[6\],4.38µm
u_core.u_replay_fsm.word_q\[26\],4.38µm
u_core.u_storage_bram.mem\[6\]\[5\],4.38µm
net576,4.38µm
net588,4.38µm
net591,4.38µm
net616,4.38µm
net1395,4.38µm
_0465_,4.33µm
_0025_,4.32µm
_0094_,4.32µm
_0605_,4.32µm
_0682_,4.32µm
_1372_,4.32µm
net455,4.32µm
net1540,4.28µm
_1084_,4.27µm
_1413_,4.27µm
_0033_,4.26µm
_0045_,4.26µm
_0118_,4.26µm
_0157_,4.26µm
_0331_,4.26µm
_0332_,4.26µm
_0479_,4.26µm
_0565_,4.26µm
_1236_,4.26µm
_1490_,4.26µm
_0126_,4.2µm
_0576_,4.2µm
_1227_,4.2µm
_1856_,4.2µm
_1870_,4.2µm
_1921_,4.2µm
net425,4.2µm
net1368,4.2µm
net1174,4.195µm
_0269_,4.17µm
net522,4.11µm
_1599_,4.1µm
_2013_,4.1µm
net768,4.1µm
net884,4.1µm
net1506,4.1µm
_0814_,4.09µm
_0852_,4.09µm
net416,4.09µm
net435,4.09µm
net440,4.09µm
net474,4.09µm
_0436_,4.08µm
_1770_,4.03µm
_0433_,4.02µm
_0437_,4.02µm
_0534_,4.02µm
_1355_,4.02µm
net622,4.02µm
net676,4.02µm
net824,4.02µm
net994,4.02µm
net1113,4.02µm
net1165,4.02µm
net1350,4.02µm
net1526,4.02µm
_0067_,3.96µm
_0483_,3.96µm
_0741_,3.96µm
_1139_,3.96µm
_1410_,3.96µm
_1415_,3.96µm
_1676_,3.96µm
u_core.hb_counter_q\[17\],3.96µm
u_core.led_err_cnt_q\[6\],3.96µm
u_core.led_err_cnt_q\[7\],3.96µm
u_core.led_ok_cnt_q\[17\],3.96µm
u_core.led_ok_cnt_q\[9\],3.96µm
u_core.led_uart_cnt_q\[10\],3.96µm
u_core.mem_wr_data\[25\],3.96µm
u_core.u_nec_decoder.since_valid_cnt\[3\],3.96µm
u_core.u_nec_decoder.since_valid_cnt\[4\],3.96µm
u_core.u_pulse_timer.counter\[5\],3.96µm
u_core.u_recorder.wait_cnt_q\[15\],3.96µm
u_core.u_recorder.word_q\[27\],3.96µm
u_core.u_recorder.word_q\[28\],3.96µm
net1109,3.96µm
net1265,3.96µm
net1427,3.96µm
net1483,3.96µm
net1543,3.96µm
u_core.u_storage_bram.mem\[6\]\[3\],3.94µm
net1255,3.91µm
net1283,3.91µm
net1455,3.91µm
_0006_,3.9µm
_0076_,3.9µm
_0084_,3.9µm
_0096_,3.9µm
_0124_,3.9µm
_0142_,3.9µm
_0154_,3.9µm
_0162_,3.9µm
_0168_,3.9µm
_0192_,3.9µm
_0218_,3.9µm
_0220_,3.9µm
_0221_,3.9µm
_0286_,3.9µm
_0324_,3.9µm
_0337_,3.9µm
_0354_,3.9µm
_0388_,3.9µm
_0399_,3.9µm
_0551_,3.9µm
_1083_,3.9µm
_1716_,3.9µm
_1749_,3.9µm
_1971_,3.9µm
u_core.led_err_cnt_q\[3\],3.9µm
u_core.mem_rd_data\[25\],3.9µm
u_core.u_ir_tx.carrier_q,3.9µm
u_core.u_storage_bram.mem\[7\]\[4\],3.9µm
net564,3.9µm
net601,3.9µm
net630,3.9µm
net697,3.9µm
net786,3.9µm
net827,3.9µm
net993,3.9µm
net1027,3.9µm
net1050,3.9µm
net1280,3.9µm
net1444,3.9µm
net1556,3.9µm
net1604,3.9µm
u_core.led_uart_cnt_q\[15\],3.85µm
_0035_,3.84µm
_1794_,3.84µm
_1857_,3.84µm
net358,3.84µm
net382,3.84µm
net395,3.84µm
net408,3.84µm
net414,3.84µm
net445,3.84µm
net457,3.84µm
net462,3.84µm
net470,3.84µm
net477,3.84µm
net493,3.84µm
net502,3.84µm
net521,3.84µm
_0645_,3.81µm
_0251_,3.78µm
_0580_,3.78µm
_1073_,3.72µm
_1141_,3.72µm
_1462_,3.72µm
_1477_,3.72µm
_1698_,3.72µm
_1762_,3.72µm
net368,3.72µm
net369,3.72µm
net393,3.72µm
net476,3.72µm
net496,3.72µm
net1051,3.72µm
_1375_,3.715µm
_1400_,3.715µm
u_core.enc_payload\[16\],3.715µm
u_core.u_recorder.state_q\[1\],3.715µm
net701,3.715µm
net1619,3.66µm
_0982_,3.62µm
net820,3.62µm
net1267,3.62µm
net1329,3.62µm
_0360_,3.61µm
_0944_,3.61µm
_1121_,3.61µm
_1284_,3.61µm
_1338_,3.61µm
_1489_,3.61µm
net1600,3.61µm
_0603_,3.6µm
_0634_,3.6µm
_0639_,3.6µm
_0640_,3.6µm
_1052_,3.6µm
net586,3.585µm
_1580_,3.55µm
_0503_,3.54µm
_0622_,3.54µm
_1385_,3.54µm
net593,3.54µm
net659,3.54µm
net772,3.54µm
net1111,3.54µm
net1207,3.54µm
net1499,3.54µm
_0429_,3.52µm
u_core.u_storage_bram.mem\[6\]\[23\],3.52µm
_0058_,3.48µm
_0089_,3.48µm
_0471_,3.48µm
_0508_,3.48µm
_0536_,3.48µm
_0713_,3.48µm
_0714_,3.48µm
_0885_,3.48µm
_1706_,3.48µm
_1807_,3.48µm
_1984_,3.48µm
u_core.led_err_cnt_q\[8\],3.48µm
u_core.led_ok_cnt_q\[13\],3.48µm
u_core.led_ok_cnt_q\[20\],3.48µm
u_core.led_uart_cnt_q\[20\],3.48µm
u_core.tick_cnt_q\[3\],3.48µm
u_core.u_output_formatter.state\[3\],3.48µm
u_core.u_output_formatter.uart_data\[5\],3.48µm
u_core.u_recorder.wait_cnt_q\[22\],3.48µm
u_core.u_recorder.word_q\[26\],3.48µm
u_core.u_storage_bram.mem\[4\]\[16\],3.48µm
u_core.u_storage_bram.mem\[6\]\[2\],3.48µm
net922,3.48µm
net1250,3.48µm
net1337,3.48µm
net1389,3.48µm
net1521,3.48µm
net1596,3.48µm
net1603,3.48µm
net1628,3.48µm
net1649,3.48µm
_0198_,3.46µm
_0064_,3.43µm
net977,3.43µm
_0091_,3.42µm
_0111_,3.42µm
_0123_,3.42µm
_0129_,3.42µm
_0176_,3.42µm
_0231_,3.42µm
_0237_,3.42µm
_0288_,3.42µm
_0327_,3.42µm
_0352_,3.42µm
_0355_,3.42µm
_0374_,3.42µm
_0389_,3.42µm
_0396_,3.42µm
_0443_,3.42µm
_0463_,3.42µm
_0495_,3.42µm
_0557_,3.42µm
_0571_,3.42µm
_0596_,3.42µm
_0667_,3.42µm
_0743_,3.42µm
_0763_,3.42µm
_0770_,3.42µm
_0893_,3.42µm
_1075_,3.42µm
_1171_,3.42µm
_1175_,3.42µm
_1202_,3.42µm
_1249_,3.42µm
_1486_,3.42µm
_1487_,3.42µm
_1502_,3.42µm
_1509_,3.42µm
_1611_,3.42µm
_1629_,3.42µm
_1631_,3.42µm
_1684_,3.42µm
_1936_,3.42µm
u_core.led_ok_cnt_q\[19\],3.42µm
u_core.led_uart_cnt_q\[14\],3.42µm
u_core.mem_rd_data\[0\],3.42µm
u_core.mem_rd_data\[14\],3.42µm
u_core.mem_rd_data\[24\],3.42µm
u_core.mem_rd_data\[27\],3.42µm
u_core.mem_rd_data\[28\],3.42µm
u_core.u_ir_tx.div_cnt_q\[0\],3.42µm
u_core.u_nec_decoder.bit_counter\[0\],3.42µm
u_core.u_nec_decoder.bit_counter\[3\],3.42µm
u_core.u_nec_decoder.since_valid_cnt\[21\],3.42µm
u_core.u_recorder.wait_cnt_q\[7\],3.42µm
u_core.u_replay_fsm.word_q\[15\],3.42µm
u_core.u_storage_bram.mem\[2\]\[4\],3.42µm
u_core.u_storage_bram.mem\[3\]\[4\],3.42µm
net570,3.42µm
net614,3.42µm
net672,3.42µm
net752,3.42µm
net804,3.42µm
net826,3.42µm
net898,3.42µm
net934,3.42µm
net1030,3.42µm
net1071,3.42µm
net1094,3.42µm
net1251,3.42µm
net1263,3.42µm
net1297,3.42µm
net1330,3.42µm
net1360,3.42µm
net1424,3.42µm
net1478,3.42µm
net1488,3.42µm
net1546,3.42µm
net1681,3.42µm
_1818_,3.375µm
_0029_,3.36µm
net1648,3.36µm
_0206_,3.33µm
_0589_,3.24µm
_1081_,3.24µm
_1641_,3.24µm
_1877_,3.24µm
_1038_,3.235µm
_1785_,3.235µm
u_core.mem_wr_data\[26\],3.235µm
_1409_,3.18µm
_0014_,3.14µm
_0430_,3.14µm
_0501_,3.14µm
_0513_,3.14µm
_1491_,3.14µm
_1531_,3.14µm
_1886_,3.14µm
net1134,3.14µm
_0633_,3.13µm
_0642_,3.13µm
_1056_,3.13µm
_1407_,3.13µm
_1418_,3.13µm
_1882_,3.13µm
u_core.u_storage_bram.mem\[5\]\[4\],3.125µm
_2005_,3.12µm
_0018_,3.06µm
_0424_,3.06µm
_0655_,3.06µm
_0662_,3.06µm
_1376_,3.06µm
net602,3.06µm
net784,3.06µm
net839,3.06µm
net883,3.06µm
net955,3.06µm
net1246,3.06µm
net1271,3.06µm
net1276,3.06µm
net1311,3.06µm
net1623,3.06µm
net1671,3.06µm
_0193_,3.015µm
_0017_,3µm
_0075_,3µm
_0082_,3µm
_0417_,3µm
_0614_,3µm
_1049_,3µm
_1092_,3µm
_1172_,3µm
_1242_,3µm
_1414_,3µm
_1498_,3µm
_1532_,3µm
_1570_,3µm
_1627_,3µm
_1769_,3µm
u_core.enc_payload\[31\],3µm
u_core.hb_counter_q\[19\],3µm
u_core.led_uart_cnt_q\[5\],3µm
u_core.led_uart_cnt_q\[9\],3µm
u_core.mem_rd_data\[13\],3µm
u_core.mem_rd_data\[18\],3µm
u_core.mem_rd_data\[19\],3µm
u_core.mem_rd_data\[22\],3µm
u_core.mem_rd_data\[31\],3µm
u_core.u_storage_bram.mem\[7\]\[13\],3µm
net760,3µm
net1213,3µm
net1296,3µm
net1324,3µm
net1503,3µm
net1550,3µm
net1670,3µm
_0201_,2.94µm
_0203_,2.94µm
_0219_,2.94µm
_0287_,2.94µm
_0548_,2.94µm
_0555_,2.94µm
_0594_,2.94µm
_0721_,2.94µm
_1159_,2.94µm
_1606_,2.94µm
_1609_,2.94µm
_1674_,2.94µm
_1748_,2.94µm
_1778_,2.94µm
_1832_,2.94µm
_1918_,2.94µm
u_core.hb_counter_q\[0\],2.94µm
u_core.led_uart_cnt_q\[13\],2.94µm
u_core.mem_rd_data\[21\],2.94µm
net640,2.94µm
net649,2.94µm
net756,2.94µm
net915,2.94µm
net1057,2.94µm
net1130,2.94µm
net1156,2.94µm
net1182,2.94µm
net1189,2.94µm
net1495,2.94µm
net1524,2.94µm
net1587,2.94µm
_1707_,2.87µm
u_core.u_storage_bram.mem\[6\]\[13\],2.835µm
_0190_,2.79µm
_0376_,2.76µm
_0498_,2.76µm
_1471_,2.76µm
_1945_,2.76µm
net740,2.76µm
_1292_,2.755µm
_0350_,2.73µm
_1053_,2.7µm
_1937_,2.7µm
_1497_,2.66µm
_1622_,2.66µm
_1792_,2.66µm
_1938_,2.66µm
net1259,2.66µm
net1319,2.66µm
net1493,2.66µm
net1498,2.66µm
net1655,2.66µm
_0481_,2.65µm
_0749_,2.65µm
_1403_,2.65µm
_1951_,2.65µm
net1581,2.65µm
_0570_,2.595µm
_0132_,2.59µm
_0095_,2.58µm
_0343_,2.58µm
_0455_,2.58µm
_0846_,2.58µm
net716,2.58µm
net722,2.58µm
net746,2.58µm
net765,2.58µm
net885,2.58µm
net946,2.58µm
net1087,2.58µm
net1193,2.58µm
net1429,2.58µm
net1446,2.58µm
_0745_,2.52µm
_1079_,2.52µm
_1134_,2.52µm
_1474_,2.52µm
_1536_,2.52µm
u_core.led_ok_cnt_q\[3\],2.52µm
u_core.led_ok_cnt_q\[5\],2.52µm
u_core.mem_wr_data\[9\],2.52µm
u_core.tick_cnt_q\[0\],2.52µm
u_core.u_ir_tx.div_cnt_q\[3\],2.52µm
u_core.u_ir_tx.div_cnt_q\[7\],2.52µm
u_core.u_recorder.word_q\[29\],2.52µm
net1108,2.52µm
_1957_,2.49µm
_0757_,2.4µm
_0762_,2.4µm
net1342,2.4µm
net1519,2.4µm
u_core.led_uart_cnt_q\[3\],2.355µm
_0079_,2.34µm
u_core.led_err_cnt_q\[10\],2.34µm
_0475_,2.28µm
_0767_,2.28µm
_1156_,2.28µm
_1419_,2.28µm
_1420_,2.28µm
_1427_,2.28µm
_1428_,2.28µm
_1429_,2.28µm
_1576_,2.28µm
_1777_,2.28µm
_1836_,2.28µm
net1481,2.28µm
_0061_,2.275µm
_0978_,2.275µm
_1261_,2.275µm
_1601_,2.275µm
_1655_,2.275µm
_1972_,2.275µm
_0689_,2.22µm
net613,2.185µm
_0901_,2.18µm
_1850_,2.18µm
_1894_,2.18µm
