net,length_um
u_core.u_uart_tx.bit_idx\[1\],43.87µm
u_core.u_pulse_timer.counter\[16\],43.4µm
_1750_,43.31µm
_0821_,43.16µm
_1328_,43.08µm
net715,42.995µm
_1442_,42.92µm
net258,42.785µm
_1160_,42.67µm
_1879_,42.49µm
u_core.u_nec_encoder.us_cnt_q\[2\],42.42µm
_1548_,42.25µm
net1454,42.12µm
u_core.pulse_width\[3\],41.82µm
_1058_,41.75µm
_1014_,41.7µm
u_core.u_nec_decoder.cmd\[2\],41.625µm
_0890_,41.52µm
u_core.u_output_formatter.command_reg\[6\],41.49µm
u_core.u_nec_encoder.bit_idx_q\[3\],41.4µm
net641,41.325µm
u_core.u_nec_encoder.us_cnt_q\[13\],41.3µm
u_core.u_uart_tx.bit_idx\[0\],41.28µm
_0795_,41.24µm
u_core.u_uart_tx.baud_cnt\[2\],41.145µm
_1320_,41.12µm
net692,41.05µm
net1541,41.02µm
_1767_,40.98µm
_0998_,40.875µm
_0797_,40.855µm
net1332,40.68µm
_0869_,40.58µm
u_core.pulse_width\[4\],40.57µm
_1307_,40.525µm
_1039_,40.465µm
u_core.u_pulse_timer.counter\[3\],40.45µm
net9,40.41µm
_1031_,40.4µm
_0947_,40.38µm
net1279,40.315µm
u_core.u_nec_decoder.addr\[4\],40.26µm
_0993_,40.11µm
_1195_,40.1µm
net957,40.005µm
_1035_,39.985µm
_1993_,39.96µm
_1546_,39.945µm
u_core.u_replay_fsm.state_q\[3\],39.845µm
_0961_,39.75µm
_1518_,39.7µm
_2017_,39.62µm
_1313_,39.505µm
net1286,39.49µm
net1043,39.48µm
_1123_,39.34µm
_1995_,39.19µm
net844,39.12µm
_1297_,38.78µm
_1665_,38.7µm
_0964_,38.695µm
_1795_,38.685µm
net1399,38.675µm
_1610_,38.665µm
_2009_,38.64µm
u_core.u_nec_encoder.us_cnt_q\[12\],38.61µm
_1112_,38.6µm
_1317_,38.6µm
_0875_,38.46µm
_1663_,38.46µm
_1654_,38.425µm
_1002_,38.395µm
u_core.u_output_formatter.command_reg\[0\],38.305µm
_1712_,38.285µm
_0776_,38.245µm
u_core.u_nec_encoder.frame_word\[17\],38.23µm
u_core.led_uart_cnt_q\[0\],38.045µm
net1379,37.99µm
_0919_,37.94µm
u_core.u_nec_decoder.addr_inv\[1\],37.94µm
net21,37.87µm
_1565_,37.795µm
net999,37.75µm
_1488_,37.74µm
u_core.u_nec_encoder.frame_word\[19\],37.69µm
u_core.mem_wr_data\[21\],37.63µm
net1004,37.57µm
u_core.pulse_done,37.35µm
_1022_,37.3µm
u_core.u_output_formatter.command_reg\[5\],37.285µm
_0979_,37.21µm
_1340_,37.165µm
u_core.u_output_formatter.address_reg\[7\],37.1µm
_0904_,37.065µm
_1628_,37.045µm
_0790_,36.97µm
u_core.u_pulse_timer.counter\[9\],36.97µm
u_core.u_pulse_timer.counter\[2\],36.885µm
u_core.u_nec_decoder.addr_inv\[7\],36.76µm
_0845_,36.74µm
_1023_,36.655µm
_1690_,36.61µm
_1588_,36.43µm
net921,36.38µm
u_core.u_nec_encoder.us_cnt_q\[1\],36.375µm
u_core.pulse_width\[17\],36.355µm
net794,36.325µm
_0775_,36.27µm
_1699_,36.07µm
_1482_,36.06µm
u_core.u_uart_tx.baud_cnt\[3\],36µm
net1262,35.97µm
_1011_,35.875µm
_0856_,35.83µm
u_core.u_recorder.state_q\[3\],35.82µm
_1040_,35.595µm
_1839_,35.58µm
_1133_,35.44µm
net1436,35.365µm
_0983_,35.35µm
u_core.u_replay_fsm.word_q\[28\],35.24µm
_1574_,35.23µm
u_core.u_nec_decoder.since_valid_cnt\[16\],35.19µm
net538,35.18µm
net1284,35.085µm
u_core.u_nec_encoder.state_q\[2\],35.07µm
net930,34.965µm
u_core.u_nec_decoder.cmd\[4\],34.94µm
net1256,34.93µm
_1880_,34.75µm
_1647_,34.685µm
_0897_,34.63µm
net1487,34.63µm
u_core.u_recorder.wait_cnt_q\[20\],34.58µm
_1651_,34.54µm
net1537,34.35µm
u_core.u_output_formatter.address_reg\[2\],34.32µm
_1237_,34.26µm
_0967_,34.235µm
u_core.u_pulse_timer.counter\[14\],34.21µm
_0949_,34.185µm
net1314,34.14µm
_1478_,34.13µm
u_core.u_nec_decoder.cmd\[3\],34.105µm
_1693_,34.085µm
_1154_,34.08µm
net764,33.99µm
_0799_,33.925µm
net617,33.925µm
net1402,33.86µm
